nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Corpse Party: Blood Covered - Repeated Fear,PSP,Adventure,5pb,0.05,,,,,,
Durarara!! 3-way Standoff,PSP,Adventure,ASCII Media Works,0.05,,,,,,
Ivy the Kiwi?,Wii,Puzzle,Rising Star Games,0.05,24-Aug-10,74,30,7.6,10,Prope
Fushigi no Dungeon: Fuurai no Shiren 3 Portable,PSP,Role-Playing,Spike,0.05,,,,,,
White Album: Tsuzurareru Fuyu no Omoide,PS3,Adventure,Aqua Plus,0.05,,,,,,
Little League World Series Baseball 2010,PS3,Sports,Activision,0.05,13-Jul-10,61,4,tbd,,Now Production
DoDonPachi Resurrection,X360,Shooter,Rising Star Games,0.05,4-Nov-11,77,10,8.4,10,Cave
Sled Shred featuring the Jamaican Bobsled Team,Wii,Sports,SouthPeak Games,0.05,12-Oct-10,,,tbd,,
Lucha Libre AAA: Heroes del Ring,X360,Fighting,Konami Digital Entertainment,0.05,12-Oct-10,49,11,5.5,11,Immersion Software & Graphics
Call of Duty: The War Collection,X360,Shooter,Activision,0.04,8-Jun-10,,,tbd,,"Infinity Ward, Treyarch"
Rapala Pro Bass Fishing 2010,PSP,Sports,Activision,0.04,28-Sep-10,,,tbd,,FUN Labs
B's-LOG Partyâ™ª,PSP,Adventure,Idea Factory,0.04,,,,,,
Saki Portable,PSP,Adventure,Alchemist,0.04,,,,,,
MorphX,X360,Shooter,505 Games,0.04,28-Sep-10,33,4,6.4,9,Buka Entertainment
Pheasants Forever Wingshooter,Wii,Shooter,Unknown,0.04,,,,,,
Sushi Go-Round,Wii,Simulation,Asylum Entertainment,0.04,30-Mar-10,,,tbd,,SouthPeak Games
Winter Sports 3: The Great Tournament,Wii,Sports,Tradewest,0.04,,,,,,
Legend of the Guardians: The Owls of Ga'Hoole,PS3,Action,Warner Bros. Interactive Entertainment,0.04,14-Sep-10,62,9,tbd,,Krome Studios
SingStar Apres-Ski Party 2,PS3,Misc,Sony Computer Entertainment,0.04,,,,,,
Little Busters! Converted Edition,PSP,Adventure,Prototype,0.04,,,,,,
Shukufuku no Campanella Portable,PSP,Adventure,Kadokawa Shoten,0.04,,,,,,
Rock of the Dead,X360,Shooter,Conspiracy Entertainment,0.04,19-Oct-10,48,7,tbd,,Epicenter Studios
Winning Post World 2010,PS3,Sports,Tecmo Koei,0.04,,,,,,
North American Hunting Extravaganza 2,Wii,Sports,Unknown,0.04,,,,,,
Daikaijuu Battle: Ultra Coliseum DX - Ultra Senshi Daishuuketsu,Wii,Fighting,Namco Bandai Games,0.04,,,,,,
Honda ATV Fever,Wii,Racing,Storm City Games,0.04,1-Oct-10,,,tbd,,Beyond Reality
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,Adventure,Nippon Ichi Software,0.04,,,,,,
Harukanaru Toki no Naka de 4: Aizouban,PSP,Role-Playing,Tecmo Koei,0.04,,,,,,
Forza Motorsport 3: Ultimate Edition,X360,Racing,Microsoft Game Studios,0.04,,,,,,
Gummy Bears Mini Golf,Wii,Sports,Unknown,0.04,,,,,,
Da Capo I & II Plus Situation Portable,PSP,Adventure,Kadokawa Shoten,0.04,,,,,,
Monster Hunter Frontier Online: Season 9.0,X360,Role-Playing,Capcom,0.04,,,,,,
Attack of the Movies 3D,X360,Shooter,Majesco Entertainment,0.04,18-May-10,38,8,0.8,9,Panic Button
Trick x Logic: Season 2,PSP,Adventure,Sony Computer Entertainment,0.04,,,,,,
Espgaluda II Black Label,X360,Shooter,Cave,0.04,,,,,,
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen,PSP,Adventure,Yeti,0.04,,,,,,
Greg Hastings Paintball 2,PS3,Shooter,Majesco Entertainment,0.04,14-Jun-11,46,5,tbd,,Super X Studios
The Kore Gang,Wii,Platform,Flashpoint Games,0.04,8-Nov-11,70,10,8.8,5,Snap Dragon Games
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,PS3,Misc,Unknown,0.03,,,,,,
Marines: Modern Urban Combat,Wii,Shooter,O-Games,0.03,26-Jan-10,,,tbd,,Destineer
City Builder,Wii,Misc,Virtual Play Games,0.03,28-Feb-10,,,tbd,,Collision Studios
Kevin Van Dam: Big Bass Challenge,Wii,Sports,Zoo Games,0.03,,,,,,
Gormiti: The Lords of Nature!,Wii,Adventure,Konami Digital Entertainment,0.03,,,,,,
Classic Dungeon: Fuyoku no Masoujin,PSP,Role-Playing,Nippon Ichi Software,0.03,,,,,,
NatGeo Challenge! Wild Life,Wii,Misc,Black Bean Games,0.03,,,,,,
Chaos;Head - Love Chu*Chu!,X360,Adventure,5pb,0.03,,,,,,
thinkSMART FAMILY!,Wii,Misc,Conspiracy Entertainment,0.03,22-Jun-10,,,tbd,,Mentor Interactive
Last Escort: Club Katze,PSP,Adventure,D3Publisher,0.03,,,,,,
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wei-Hen,PSP,Adventure,Yeti,0.03,,,,,,
StormLover,PSP,Adventure,D3Publisher,0.03,,,,,,
Shin Sangoku Musou Online: Kamishou Ranbu,PS3,Action,Tecmo Koei,0.03,,,,,,
Dennou Senki Virtual-On Force,X360,Fighting,Sega,0.03,,,,,,
Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,PSP,Role-Playing,Gust,0.03,,,,,,
Senko no Ronde DUO,X360,Fighting,G.Rev,0.03,,,,,,
Katekyoo Hitman Reborn! Kizuna no Tag Battle,PSP,Fighting,Marvelous Interactive,0.03,,,,,,
Rock of the Dead,PS3,Shooter,Conspiracy Entertainment,0.03,19-Oct-10,45,7,tbd,,Epicenter Studios
DJ Max Portable 3,PSP,Misc,CyberFront,0.03,14-Oct-10,,,6.5,6,PM Studios Inc.
Armored Core: Last Raven Portable,PSP,Simulation,From Software,0.03,3-May-10,,,tbd,,From Software
SD Gundam: Gashapon Wars,Wii,Strategy,Namco Bandai Games,0.03,,,,,,
Ape Escape,PS3,Platform,Sony Computer Entertainment,0.03,5-Jul-11,43,23,4.9,14,SCE Japan Studio
Sherlock Holmes: Secret of The Silver Earring,Wii,Adventure,Focus Home Interactive,0.03,,,,,,
Boot Camp Academy,Wii,Action,Zoo Games,0.03,20-May-10,,,tbd,,Ubisoft
Maximum Racing: Drag & Stock Racer,Wii,Racing,Nordic Games,0.03,,,,,,
Blaze Union: Story to Reach the Future,PSP,Role-Playing,Sting,0.03,,,,,,
Maximum Racing: GP Classic Racing,Wii,Racing,Nordic Games,0.03,14-Mar-11,,,tbd,,Nordic Games Publishing
DeathSmiles II X,X360,Shooter,Cave,0.03,17-May-11,,,8,7,Cave
Hyakumanton no Bara Bara,PSP,Strategy,Sony Computer Entertainment,0.03,,,,,,
Sokukoku no Kusabi: Hiiro no Kakera 3 Portable,PSP,Adventure,Idea Factory,0.03,,,,,,
The King of Fighters Portable '94~'98: Chapter of Orochi,PSP,Fighting,SNK Playmore,0.03,,,,,,
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wu-Hen,PSP,Adventure,Yeti,0.03,,,,,,
101-in-1 Sports Party Megamix,Wii,Sports,Nordcurrent,0.03,13-Jan-11,41,7,tbd,,Nordcurrent
Heathcliff! The Fast and the Furriest,Wii,Racing,Storm City Games,0.03,5-Nov-10,,,tbd,,Storm City Games
Clannad: Mitsumi Mamoru Sakamichi de - Gekan,PSP,Adventure,Prototype,0.03,,,,,,
Sengoku Efuda Yuugi: Hototogisu Tairan,PSP,Strategy,Irem Software Engineering,0.03,,,,,,
Starry * Sky: In Autumn - PSP Edition,PSP,Adventure,Asgard,0.03,,,,,,
Hakuouki: Junsouroku,PS3,Adventure,Idea Factory,0.03,,,,,,
Let's Play Ballerina,Wii,Sports,Deep Silver,0.02,8-Jun-10,,,tbd,,
Rugby League Live,X360,Sports,Home Entertainment Suppliers,0.02,,,,,,
Otometeki Koi Kakumei * Love Revo! Portable,PSP,Adventure,Idea Factory,0.02,,,,,,
No More Heroes: Heroes' Paradise,X360,Action,Marvelous Interactive,0.02,,,,,,
Ken to Mahou to Gakuen Mono. 2G,PS3,Role-Playing,Acquire,0.02,,,,,,
Let's Play Garden,Wii,Simulation,Deep Silver,0.02,25-May-10,,,tbd,,Deep Silver
Carnage Heart EXA,PSP,Strategy,ArtDink,0.02,19-Mar-13,,,tbd,,Artdink
Clannad: Mitsumi Mamoru Sakamichi de - Joukan,PSP,Adventure,Prototype,0.02,,,,,,
Vitamin Z Revolution,PSP,Adventure,D3Publisher,0.02,,,,,,
Kingdom: Ikkitousen no Ken,PSP,Action,Konami Digital Entertainment,0.02,,,,,,
Chaos;Head Noah,PSP,Adventure,5pb,0.02,,,,,,
Crazy Machines,Wii,Puzzle,DTP Entertainment,0.02,14-Jun-11,,,tbd,,FAKT Software
Twinkle * Crusaders GoGo!,PSP,Adventure,ASCII Media Works,0.02,,,,,,
Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,PSP,Misc,D3Publisher,0.02,,,,,,
PachiPara 15: Super Umi Monogatari in Okinawa 2,PS3,Misc,Irem Software Engineering,0.02,,,,,,
Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,Adventure,Alchemist,0.02,,,,,,
Umineko no Naku Koro ni: Majo to Suiri no Rinbukyoku,PS3,Adventure,Alchemist,0.02,,,,,,
Rugby League Live,PS3,Sports,Home Entertainment Suppliers,0.02,,,,,,
"Renai Banchou: Inochi Meishi, Koiseyo Otome! Love is Power!!!",PSP,Adventure,Idea Factory,0.02,,,,,,
Jikandia: The Timeless Land,PSP,Role-Playing,Idea Factory,0.02,22-Mar-11,60,5,7.2,5,Opus Studio
Ore no Yome: Anata Dake no Hanayome,X360,Adventure,Idea Factory,0.02,,,,,,
Tsuyo Kiss 2 Portable,PSP,Adventure,NetRevo,0.02,,,,,,
Nisenochigiri,PSP,Adventure,Idea Factory,0.02,,,,,,
Triple Crown Championship Snowboarding,Wii,Sports,Destineer,0.02,,,,,,
Uta no * Prince-Sama,PSP,Adventure,Broccoli,0.02,,,,,,
Pastel Chime Continue,PSP,Adventure,5pb,0.02,,,,,,
Princess Isabella: A Witch's Curse,Wii,Adventure,Destineer,0.02,3-Sep-10,,,tbd,,Gogii Games
Kazoku Keikaku,PSP,Adventure,CyberFront,0.02,,,,,,
Zettai Meikyuu Grimm: Nanatsu no Kagi to Rakuen no Otome,PSP,Misc,Karin Entertainment,0.02,,,,,,
Winter Blast: 9 Snow & Ice Games,Wii,Sports,Destineer,0.02,,,,,,
Motto NUGA-CEL!,PSP,Adventure,Idea Factory,0.02,,,,,,
Miyako,PSP,Adventure,Idea Factory,0.02,,,,,,
11eyes: CrossOver,PSP,Adventure,5pb,0.02,,,,,,
Tantei Opera: Milky Holmes,PSP,Adventure,Unknown,0.02,,,,,,
Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,PSP,Action,Takara Tomy,0.02,,,,,,
Winter Sports 3: The Great Tournament,PS3,Sports,Tradewest,0.02,,,,,,
Ketsui: Kizuna Jigoku Tachi Extra,X360,Shooter,5pb,0.02,,,,,,
Koisuru Otome to Shugo no Tate Portable,PSP,Adventure,Alchemist,0.02,,,,,,
Rock Blast,Wii,Puzzle,UFO Interactive,0.02,9-Feb-10,,,tbd,,UFO Interactive
Tegami Bachi: Kokoro Tsumugu Mono e,PSP,Role-Playing,Konami Digital Entertainment,0.02,,,,,,
Maximum Racing: Crash Car Racer,Wii,Racing,Nordic Games,0.02,,,,,,
GA - Geijutsuka Art Design Class: Slapstick Wonder Land,PSP,Adventure,Russel,0.02,,,,,,
SingStar Fussballhits,PS3,Misc,Sony Computer Entertainment,0.02,,,,,,
Vitamin X Evolution Plus,PSP,Adventure,D3Publisher,0.02,,,,,,
Memories Off: Yubikiri no Kioku,X360,Adventure,5pb,0.02,,,,,,
Cross Â† Channel,PSP,Adventure,CyberFront,0.02,,,,,,
Harley-Davidson: Road Trip,Wii,Racing,Destineer,0.02,28-Jun-10,,,tbd,,Destineer
Strike Witches: Shirogane no Tsubasa,X360,Strategy,CyberFront,0.02,,,,,,
Yoake Yori Ruriiro na Portable,PSP,Adventure,Kadokawa Shoten,0.02,,,,,,
Battle Spirits: Hero's Soul,PSP,Role-Playing,Namco Bandai Games,0.02,,,,,,
W.L.O. Sekai Renai Kikousen,X360,Adventure,5pb,0.02,,,,,,
Shin Sangoku Musou Online: Souten Ranbu,PS3,Action,Tecmo Koei,0.02,,,,,,
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable,PSP,Misc,Paon,0.02,,,,,,
GTI Club: Supermini Festa!,Wii,Racing,Konami Digital Entertainment,0.02,,,,,,
Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable,PSP,Adventure,Idea Factory,0.02,,,,,,
Narcissus: Moshimo Ashita ga Runara,PSP,Adventure,Kadokawa Shoten,0.02,,,,,,
"Sharin no Kuni, Himawari no Shoujo",X360,Adventure,5pb,0.02,,,,,,
So-Ra-No-Wo-To: Otome no Gojuusou,PSP,Adventure,Compile Heart,0.02,,,,,,
NatGeo Challenge! Wild Life,X360,Misc,Black Bean Games,0.02,,,,,,
Misshitsu no Sacrifice,PSP,Adventure,D3Publisher,0.02,,,,,,
Challenge Me: Brain Puzzles 2,Wii,Puzzle,O-Games,0.02,26-Oct-10,,,tbd,,O-Games
Sora no Otoshimono: DokiDoki Summer Vacation,PSP,Adventure,Kadokawa Shoten,0.01,,,,,,
Wand of Fortune: Mirai e no Prologue Portable,PSP,Adventure,Idea Factory,0.01,,,,,,
Secret Game Portable,PSP,Adventure,Yeti,0.01,,,,,,
Wand of Fortune Portable,PSP,Adventure,Idea Factory,0.01,,,,,,
Himawari: Pebble in the Sky Portable,PSP,Adventure,Kadokawa Shoten,0.01,,,,,,
Titanic Mystery,Wii,Puzzle,O-Games,0.01,3-Apr-12,,,tbd,,PlayV
Pirates PlundArrr,Wii,Action,Majesco Entertainment,0.01,25-May-10,60,5,tbd,,Boomzap
Sakura Sakura: Haru Urara,PSP,Adventure,GN Software,0.01,,,,,,
Kana: Imouto,PSP,Adventure,CyberFront,0.01,,,,,,
PDC World Championship Darts: Pro Tour,X360,Sports,O-Games,0.01,,,,,,
Tears to Tiara: Kakan no Daichi Portable,PSP,Adventure,Aqua Plus,0.01,,,,,,
I Love Horses: Rider's Paradise,Wii,Simulation,Destineer,0.01,30-Mar-11,,,tbd,,Destineer
Satisfashion,Wii,Misc,Destineer,0.01,Apr-10,,,,,XS Games
Wild West Shootout,Wii,Shooter,Unknown,0.01,,,,,,
Canada Hunt,Wii,Sports,Virtual Play Games,0.01,,,,,,
Densetsu no Yuusha no Densetsu: Legendary Saga,PSP,Role-Playing,Kadokawa Shoten,0.01,,,,,,
Hiiro no Kakera: Shin Tamayori Hime Denshou Portable,PSP,Adventure,Idea Factory,0.01,,,,,,
Horrid Henry: Missions of Mischief,Wii,Adventure,SouthPeak Games,0.01,TBA,,,,,Asylum Entertainment
No Fate! Only the Power of Will,X360,Adventure,Alchemist,0.01,,,,,,
"Hanayaka Kana, Ware ga Ichizoku",PSP,Adventure,Idea Factory,0.01,,,,,,
Sengoku Hime 2 Arashi: Hyakubana Senran Tatsukaze no Gotoku,PSP,Strategy,System Soft,0.01,,,,,,
FairlyLife: MiracleDays,PSP,Adventure,Piacci,0.01,,,,,,
Moe Moe 2-Ji Daisenryaku 2,PSP,Strategy,System Soft,0.01,,,,,,
Thomas & Friends: Hero of the Rails,Wii,Misc,Unknown,0.01,,,,,,
Ishin Renka: Ryouma Gaiden,PSP,Adventure,D3Publisher,0.01,,,,,,
S.Y.K: Shinsetsu Saiyuuki Portable,PSP,Adventure,Idea Factory,0.01,,,,,,
Akatsuki no Amaneka to Aoi Kyojin,PSP,Strategy,CyberFront,0.01,,,,,,
John Daly's ProStroke Golf,X360,Sports,O-Games,0.01,Canceled,57,5,,,Gusto Games
Tenjin Ranman: Happy GO Lucky!!,PSP,Adventure,Russel,0.01,,,,,,
The Cages: Pro Style Batting Practice,Wii,Sports,Konami Digital Entertainment,0.01,6-Jul-10,,,tbd,,Konami
Slotter Mania P: Tetsuya Shinjuku vs Ueno ,PSP,Misc,Dorart,0.01,,,,,,
Winter Sports 3: The Great Tournament,X360,Sports,Tradewest,0.01,TBA,,,,,49Games
The Eye of Judgment: Legends,PSP,Strategy,Sony Computer Entertainment,0.01,10-Mar-10,69,17,8.7,13,SCEI
The Conveni Portable,PSP,Simulation,Hamster Corporation,0.01,,,,,,
Canvas 3: Nanairo no Kiseki,PSP,Adventure,GN Software,0.01,,,,,,
Memories Off 6: Next Relation,PSP,Adventure,5pb,0.01,,,,,,
D.C. Girl's Symphony Pocket,PSP,Adventure,Idea Factory,0.01,,,,,,
Marvel Superheroes 3D: Grandmaster's Challenge,Wii,Action,Neko Entertainment,0.01,,,,,,
No Fate! Only the Power of Will,PSP,Adventure,Alchemist,0.01,,,,,,
Power Smash: Live Match!,PS3,Sports,Sega,0.01,,,,,,
The Ultimate Battle of the Sexes,Wii,Misc,DTP Entertainment,0.01,27-Dec-11,,,tbd,,Neopica
Akatsuki no Amaneka to Aoi Kyojin,X360,Strategy,CyberFront,0.01,,,,,,
Anpanman Niko Niko Party,Wii,Misc,Agatsuma Entertainment,0.01,,,,,,
Winning Post World 2010,Wii,Sports,Tecmo Koei,0.01,,,,,,
Harakuju Tantei Gakuen: Steel Wood,PSP,Adventure,Idea Factory,0.01,,,,,,
"Second Novel: Kanojo no Natsu, 15-Bun no Kioku",PSP,Adventure,Nippon Ichi Software,0.01,,,,,,
FlatOut,Wii,Racing,Zoo Games,0.01,23-Nov-10,,,8.2,13,Team6 Game Studios
"Koori no Bohyou: Ichiryuuwa, 3-dome no Junan",PSP,Strategy,Nippon Ichi Software,0.01,,,,,,
Once Upon A Time,Wii,Misc,Storm City Games,0.01,9-Dec-10,,,tbd,,
Radirgy Noa Wii,Wii,Shooter,Milestone,0.01,,,,,,
Soul Calibur IV,X360,Fighting,Namco Bandai Games,0.01,,,,,,
Nizu no Senritsu Portable 2: Hi no Kioku,PSP,Adventure,CyberFront,0.01,,,,,,
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,14.16,8-Nov-11,88,81,3.3,8457,"Infinity Ward, Sledgehammer Games"
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,12.74,8-Nov-11,88,39,3.1,5037,"Infinity Ward, Sledgehammer Games"
Just Dance 3,Wii,Misc,Ubisoft,9.87,7-Oct-11,74,15,7.6,12,Ubisoft
Super Mario 3D Land,3DS,Platform,Nintendo,9.28,13-Nov-11,90,82,8.2,576,Nintendo
Mario Kart 7,3DS,Racing,Nintendo,9.25,4-Dec-11,85,73,8.3,377,"Retro Studios, Entertainment Analysis & Development Division"
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,7.8,11-Nov-11,96,89,8.4,2938,Bethesda Game Studios
Battlefield 3,X360,Shooter,Electronic Arts,7.11,25-Oct-11,84,57,7.4,2054,EA DICE
Battlefield 3,PS3,Shooter,Electronic Arts,6.81,25-Oct-11,85,38,7.4,1617,EA DICE
FIFA Soccer 12,PS3,Sports,Electronic Arts,6.48,27-Sep-11,90,44,7.2,284,Electronic Arts
Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,6.26,1-Nov-11,92,97,8.3,2659,Naughty Dog
Gears of War 3,X360,Shooter,Microsoft Game Studios,5.98,20-Sep-11,91,96,7.6,1200,Epic Games
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,5.29,11-Nov-11,92,16,6,2045,Bethesda Game Studios
Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment,4.81,18-Oct-11,96,42,8.5,1417,Rocksteady Studios
Batman: Arkham City,X360,Action,Warner Bros. Interactive Entertainment,4.32,18-Oct-11,94,87,8.6,1194,Rocksteady Studios
Forza Motorsport 4,X360,Racing,Microsoft Game Studios,4.16,11-Oct-11,91,83,8.1,491,Turn 10
FIFA Soccer 12,X360,Sports,Electronic Arts,4.1,27-Sep-11,90,69,6.7,290,Electronic Arts
Assassin's Creed: Revelations,PS3,Action,Ubisoft,4.03,15-Nov-11,80,39,7.5,451,Ubisoft Montreal
Assassin's Creed: Revelations,X360,Action,Ubisoft,4.02,15-Nov-11,80,77,7.1,458,Ubisoft Montreal
The Legend of Zelda: Skyward Sword,Wii,Action,Nintendo,3.72,20-Nov-11,93,81,7.8,1433,Nintendo
Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,Sega,3.59,,,,,,
Nintendogs + cats,3DS,Simulation,Nintendo,3.3,,,,,,
The Legend of Zelda: Ocarina of Time,3DS,Action,Nintendo,3.29,,,,,,
LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment,3.09,18-Jan-11,91,86,8.3,482,Media Molecule
L.A. Noire,PS3,Adventure,Take-Two Interactive,2.9,17-May-11,89,78,7.5,780,Team Bondi
Zumba Fitness 2,Wii,Sports,Majesco Entertainment,2.71,15-Nov-11,,,tbd,,Majesco Games
Skylanders: Spyro's Adventure,Wii,Action,Activision,2.66,16-Oct-11,81,11,5.3,22,Toys for Bob
Saints Row: The Third,X360,Action,THQ,2.62,15-Nov-11,84,70,7.5,399,Volition Inc.
Madden NFL 12,X360,Sports,Electronic Arts,2.61,30-Aug-11,78,55,5.9,87,EA Tiburon
Killzone 3,PS3,Shooter,Sony Computer Entertainment,2.58,22-Feb-11,84,85,7.9,767,Guerrilla
NBA 2K12,X360,Sports,Take-Two Interactive,2.52,4-Oct-11,90,42,7.7,117,Visual Concepts
Final Fantasy XIII-2,PS3,Role-Playing,Square Enix,2.52,31-Jan-12,79,53,6.8,499,Square Enix
Monster Hunter Tri,3DS,Role-Playing,Nintendo,2.5,,,,,,
L.A. Noire,X360,Adventure,Take-Two Interactive,2.5,17-May-11,89,83,7.7,747,Team Bondi
Mortal Kombat,PS3,Fighting,Warner Bros. Interactive Entertainment,2.41,19-Apr-11,84,60,8.2,364,NetherRealm Studios
Saints Row: The Third,PS3,Action,THQ,2.29,15-Nov-11,82,50,7.7,309,Volition Inc.
Dead Island,X360,Action,Deep Silver,2.24,6-Sep-11,71,75,7,534,Techland
Halo: Combat Evolved Anniversary,X360,Shooter,Microsoft Game Studios,2.21,15-Nov-11,82,73,8.1,382,343 Industries
Kinect: Disneyland Adventures,X360,Misc,Microsoft Game Studios,2.19,15-Nov-11,73,33,5.9,24,Frontier Developments
Kinect Sports: Season Two,X360,Sports,Microsoft Game Studios,2.18,25-Oct-11,66,46,6.3,27,"BigPark, Rare Ltd."
Madden NFL 12,PS3,Sports,Electronic Arts,2.15,30-Aug-11,79,31,5.4,49,EA Tiburon
Pro Evolution Soccer 2012,PS3,Sports,Konami Digital Entertainment,2.15,27-Sep-11,80,41,6.5,114,Konami
NBA 2K12,PS3,Sports,Take-Two Interactive,2.02,4-Oct-11,90,38,6.6,108,Visual Concepts
Dead Island,PS3,Action,Deep Silver,2.01,6-Sep-11,71,41,6.6,348,Techland
Dance Central 2,X360,Misc,Microsoft Game Studios,1.95,25-Oct-11,86,56,8.1,53,Harmonix Music Systems
Just Dance 3,X360,Misc,Ubisoft,1.94,7-Oct-11,70,34,7.9,14,Ubisoft
Need for Speed: The Run,PS3,Racing,Electronic Arts,1.87,15-Nov-11,64,48,6.4,148,Black Box
Mortal Kombat,X360,Fighting,Warner Bros. Interactive Entertainment,1.8,19-Apr-11,86,66,8.3,338,NetherRealm Studios
Portal 2,X360,Shooter,Valve Software,1.78,19-Apr-11,95,66,8.4,850,Valve Software
Dark Souls,PS3,Role-Playing,Namco Bandai Games,1.7,4-Oct-11,89,54,8.6,815,From Software
inFAMOUS 2,PS3,Action,Sony Computer Entertainment,1.64,7-Jun-11,83,90,8.4,663,Sucker Punch
Kirby's Return to Dreamland,Wii,Platform,Nintendo,1.6,24-Oct-11,77,49,8.2,108,HAL Labs
LEGO Star Wars III: The Clone Wars,Wii,Action,LucasArts,1.54,22-Mar-11,76,7,7.3,8,Traveller's Tales
Rage,X360,Shooter,Bethesda Softworks,1.52,4-Oct-11,81,77,6.6,488,id Software
Portal 2,PS3,Shooter,Valve,1.51,19-Apr-11,95,54,8.3,738,Valve Software
Dead Space 2,X360,Shooter,Electronic Arts,1.41,25-Jan-11,90,83,8.6,574,Visceral Games
Homefront,X360,Shooter,THQ,1.4,15-Mar-11,70,85,6,371,Kaos Studios
LEGO Pirates of the Caribbean: The Video Game,Wii,Action,Disney Interactive Studios,1.39,10-May-11,73,14,6.8,11,Traveller's Tales
Resistance 3,PS3,Shooter,Sony Computer Entertainment,1.36,6-Sep-11,83,91,7.7,434,Insomniac Games
Go Vacation,Wii,Misc,Namco Bandai Games,1.35,11-Oct-11,64,28,6.7,7,Namco Bandai Games
Professor Layton and the Mask of Miracle,3DS,Adventure,Nintendo,1.35,28-Oct-12,82,54,8.4,76,Level 5
Mass Effect 2,PS3,Role-Playing,Electronic Arts,1.32,18-Jan-11,94,62,8.4,818,BioWare
Dead Space 2,PS3,Shooter,Electronic Arts,1.31,25-Jan-11,89,78,8.3,397,Visceral Games
LEGO Star Wars III: The Clone Wars,X360,Action,LucasArts,1.28,22-Mar-11,75,43,7.7,33,Traveller's Tales
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Fighting,Capcom,1.27,15-Feb-11,84,56,7.2,135,Capcom
Need for Speed: The Run,X360,Racing,Electronic Arts,1.27,15-Nov-11,68,65,6,140,Black Box
Crysis 2,X360,Shooter,Electronic Arts,1.26,22-Mar-11,84,72,7.5,478,Crytek
